Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
25.8,29.25,25.8,27.65,27.02,67200.0,32.0,1815420.0,58800.0,87.5,3.45,1.85
28.0,31.5,27.35,29.75,30.01,193200.0,60.0,5797200.0,168000.0,86.96,4.15,1.75
29.95,29.95,29.8,29.8,29.94,15600.0,4.0,467040.0,15600.0,100.0,0.15,-0.15
29.8,29.8,29.8,29.8,29.8,1200.0,1.0,35760.0,1200.0,100.0,0.0,0.0
28.5,30.3,28.5,30.3,29.4,2400.0,2.0,70560.0,2400.0,100.0,1.8,1.8
30.3,30.9,28.7,29.1,29.62,6000.0,5.0,177720.0,2400.0,40.0,2.2,-1.2
29.5,29.5,28.3,28.3,28.9,2400.0,2.0,69360.0,2400.0,100.0,1.2,-1.2
28.0,30.0,27.8,29.45,28.87,9600.0,8.0,277140.0,7200.0,75.0,2.2,1.45
28.25,29.5,28.25,28.65,28.96,4800.0,4.0,139020.0,3600.0,75.0,1.25,0.4
29.65,29.65,28.65,28.65,29.15,2400.0,2.0,69960.0,2400.0,100.0,1.0,-1.0
29.7,29.7,29.0,29.0,29.18,4800.0,4.0,140040.0,4800.0,100.0,0.7,-0.7
29.0,29.0,27.5,27.6,27.93,39600.0,26.0,1105860.0,34800.0,87.88,1.5,-1.4
27.5,27.5,27.5,27.5,27.5,1200.0,1.0,33000.0,1200.0,100.0,0.0,0.0
28.1,29.4,28.1,29.15,28.76,9600.0,8.0,276120.0,8400.0,87.5,1.3,1.05
29.0,29.75,29.0,29.5,29.46,8400.0,7.0,247440.0,8400.0,100.0,0.75,0.5
29.3,30.2,29.3,29.75,29.85,15600.0,13.0,465720.0,12000.0,76.92,0.9,0.45
29.75,32.45,29.75,31.9,31.33,98400.0,69.0,3082800.0,86400.0,87.8,2.7,2.15
30.65,31.0,30.0,30.15,30.56,13200.0,11.0,403380.0,12000.0,90.91,1.0,-0.5
29.7,29.7,29.65,29.65,29.68,3600.0,3.0,106860.0,3600.0,100.0,0.05,-0.05
32.0,32.75,31.4,31.9,32.25,114000.0,37.0,3676080.0,110400.0,96.84,1.35,-0.1
31.9,33.0,31.2,31.2,32.5,19200.0,12.0,624000.0,18000.0,93.75,1.8,-0.7
32.95,33.0,31.0,31.0,32.3,40800.0,26.0,1317840.0,33600.0,82.35,2.0,-1.95
31.9,31.9,29.5,29.5,30.47,30000.0,17.0,913980.0,28800.0,96.0,2.4,-2.4
29.1,29.8,28.25,29.6,29.05,22800.0,14.0,662400.0,19200.0,84.21,1.55,0.5
29.1,33.0,29.1,32.75,31.94,68400.0,30.0,2184360.0,64800.0,94.74,3.9,3.65
31.9,36.0,30.55,35.0,34.66,103200.0,64.0,3577080.0,72000.0,69.77,5.45,3.1
35.5,38.0,33.55,36.85,35.82,81600.0,50.0,2923260.0,57600.0,70.59,4.45,1.35
38.5,38.5,35.25,36.05,36.06,50400.0,30.0,1817520.0,38400.0,76.19,3.25,-2.45
37.0,37.0,34.05,34.05,34.96,72000.0,28.0,2516940.0,64800.0,90.0,2.95,-2.95
34.95,35.2,34.5,35.05,34.94,12000.0,10.0,419280.0,10800.0,90.0,0.7,0.1
35.0,35.7,34.3,34.3,35.58,32400.0,10.0,1152840.0,32400.0,100.0,1.4,-0.7
34.05,37.0,34.0,36.85,35.06,36000.0,23.0,1262040.0,33600.0,93.33,3.0,2.8
36.25,36.25,34.85,35.4,35.64,18000.0,14.0,641520.0,15600.0,86.67,1.4,-0.85
34.5,35.45,34.5,34.6,34.91,8400.0,7.0,293280.0,7200.0,85.71,0.95,0.1
34.1,34.1,34.1,34.1,34.1,1200.0,1.0,40920.0,1200.0,100.0,0.0,0.0
34.6,34.6,34.4,34.5,34.52,3600.0,3.0,124260.0,3600.0,100.0,0.2,-0.1
